date,station,precip_mm
2024-04-02,GHCND:US1PABR0016,1.9300000000000002
2024-04-02,GHCND:US1PABR0021,1.6
2024-04-02,GHCND:US1PABR0025,2.18
2024-04-02,GHCND:US1PABR0028,1.78
2024-04-02,GHCND:US1PABR0029,2.1100000000000003
2024-04-02,GHCND:US1PABR0031,1.9300000000000002
2024-04-02,GHCND:US1PABR0033,2.82
2024-04-02,GHCND:US1PABR0035,2.21
2024-04-02,GHCND:US1PABR0036,2.06
2024-04-02,GHCND:US1PABR0037,2.08
2024-04-02,GHCND:US1PABR0038,1.9100000000000001
2024-04-02,GHCND:US1PABR0041,1.8
2024-04-02,GHCND:US1PABR0045,2.08
2024-04-02,GHCND:US1PABR0047,1.7
2024-04-02,GHCND:US1PABR0049,1.65
2024-04-02,GHCND:US1PABR0050,2.2399999999999998
2024-04-02,GHCND:US1PABR0052,1.52
2024-04-02,GHCND:US1PABR0053,1.52
2024-04-02,GHCND:US1PABR0054,1.75
2024-04-02,GHCND:US1PABT0006,2.29
2024-04-02,GHCND:US1PABT0015,2.95
2024-04-02,GHCND:US1PABT0024,2.57
